_id,location,name_pollutant_substance,measurement_results,period,maximum_permissible_concentration,deviation
232,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.076,2016-06-30T00:00:00,0.5,-0.42
233,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.71,2016-09-30T00:00:00,5,2.71
234,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.244,2016-09-30T00:00:00,0.4,-0.16
235,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.251,2016-09-30T00:00:00,0.2,0.05
236,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.112,2016-09-30T00:00:00,0.5,-0.39
237,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.11,2016-12-31T00:00:00,5,2.11
238,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.203,2016-12-31T00:00:00,0.4,-0.2
239,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.229,2016-12-31T00:00:00,0.2,0.03
240,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.088,2016-12-31T00:00:00,0.5,-0.41
241,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,5.52,2017-03-31T00:00:00,5,0.52
242,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.187,2017-03-31T00:00:00,0.4,-0.21
243,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.201,2017-03-31T00:00:00,0.2,0.001
244,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.093,2017-03-31T00:00:00,0.5,-0.41
245,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,6.84,2017-06-30T00:00:00,5,1.84
246,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.204,2017-06-30T00:00:00,0.4,-0.2
